profile_id,O,N,emo_sad,focusfuture,mental,certitude,fatigue,Affect,adverb,swear
syn_0053,23.0,17.604955831565178,0.1,1.08,0.18,0.83,0.0,5.87,7.503383691542192,0.59
syn_0054,56.0,78.0,0.07,1.1,0.07,0.9,0.02,5.302607101367521,6.93,0.38
syn_0055,47.634253740384565,92.0,0.07,1.11,0.02,1.01,0.06,5.28,6.11,0.29
syn_0056,21.0,76.0,0.1,1.11,0.0,1.1,0.09,6.965236475756142,6.87,0.44
syn_0057,50.531215640329606,99.0,0.09,0.94,0.34,1.73,0.05,6.087451653901072,8.502327968956497,0.17
syn_0058,40.0,43.0,0.0,1.14,0.0,1.5524450511008967,0.02,5.13,7.67,0.11
syn_0059,15.0,15.0,0.06,1.5564907718391396,0.07,0.38,0.05,5.08,5.75,0.23
syn_0060,86.0,26.0,0.3,1.3,0.14,1.61,0.01,6.01,7.95,0.94
syn_0061,40.1210115371415,98.0,0.04,1.11,0.0,1.08,0.02,5.47,4.900508234347701,0.23
syn_0062,43.0,7.0,0.1,1.14,0.0,0.67,0.04,5.2,5.913975757268502,0.09
syn_0063,77.0,15.0,0.07,1.46,0.0,0.83,0.0,6.579256972814164,7.56,0.14
syn_0064,61.0,95.0,0.12,1.37,0.3,1.0,0.11,5.68,7.23,0.1
syn_0065,54.0,18.597565758886674,0.07,1.25,0.13,0.43,0.02,5.13,4.98,0.3
syn_0066,3.0,40.0,0.06,2.4334520361420027,0.06,0.307071203063511,0.07,5.711346982852933,5.450219585902094,0.05
syn_0067,88.0,55.0,0.1,0.76,0.1,1.4,0.06,6.08,7.136790388347565,0.69
syn_0068,52.0,50.0,0.07,0.83,0.03,0.85,0.07,4.34966236653131,6.13,0.38
syn_0069,93.0,40.0,0.2,1.51,0.5497251630841152,0.93,0.07,5.8,5.56,0.0
syn_0070,19.0,32.0,0.11,1.18,0.0,0.97,0.25,6.07,6.44,0.27
syn_0071,17.0,90.0,0.31,1.73,0.1,1.61,0.03,6.94,8.454365910163915,0.46
syn_0072,93.0,50.0,0.5326090702697457,1.9437279991959484,0.08,0.44,0.07,5.636385874592013,6.01,0.49
syn_0073,34.0,98.0,0.15,0.792192463415748,0.17,1.274568973658229,0.11,5.43,7.221223508361759,0.51
syn_0074,39.0,80.0,0.42,1.96,0.17,0.6707267823986598,0.16,5.5065184892275445,5.264848976882124,0.09
syn_0075,30.0,63.19657998909054,0.05,1.26,0.12,0.9,0.02,7.24,6.51,0.17
syn_0076,50.0,36.0,0.06,1.13,0.15,0.98,0.08,5.74,7.628628893800851,0.04
syn_0077,19.0,46.0,0.04,0.2735642180340836,0.09,0.84,0.1,5.28,7.646614867838348,0.17
syn_0078,70.0,73.6937334380101,0.05,1.12,0.03,0.94,0.0,5.253364480459078,5.1559627334667315,0.94
syn_0079,69.20994507190835,85.0,0.09,0.91,0.05,1.0876763311202775,0.0,4.36,8.190904408102654,0.08
