author_id,O,N,n_essays,total_word_count,liwc_wc,emo_sad,focusfuture,mental,certitude,fatigue,Affect,adverb,swear
36,13.0,33.0,8624,533280.0,541606.0,0.07,1.36,0.07,0.94,0.05,5.55,6.12,0.37
37,48.0,8.0,8619,173722.0,175351.0,0.11,1.64,0.02,0.9,0.05,7.28,6.19,1.18
38,64.0,88.0,8184,185696.0,199828.0,0.09,1.1,0.05,0.85,0.09,4.45,6.5,0.37
39,13.0,65.0,8180,210065.0,213014.0,0.1,1.08,0.1,0.9,0.03,4.87,5.77,0.05
40,88.0,71.0,8163,92912.0,95027.0,0.19,1.58,0.04,0.88,0.09,7.53,6.83,0.81
41,20.0,19.0,8160,547252.0,558573.0,0.15,0.96,0.01,0.75,0.1,6.25,5.53,0.11
42,89.0,43.0,7956,268514.0,270107.0,0.05,1.54,0.03,0.56,0.03,4.29,4.97,0.29
43,53.0,64.0,7945,414174.0,416381.0,0.09,1.28,0.04,0.82,0.06,5.55,6.19,0.28
44,12.0,93.0,7868,140773.0,142629.0,0.07,1.33,0.04,0.9,0.03,4.71,6.16,0.37
45,45.0,9.0,7838,600992.0,606547.0,0.07,1.08,0.08,0.97,0.03,3.71,6.89,0.06
46,15.0,44.0,7675,763845.0,773773.0,0.04,1.26,0.01,0.79,0.03,4.64,6.41,0.22
47,19.0,27.0,7592,343143.0,352522.0,0.08,1.3,0.09,0.84,0.06,5.21,5.89,0.32
48,62.0,35.0,7467,252956.0,257157.0,0.09,1.24,0.02,1.0,0.06,5.19,7.0,0.22
49,23.0,73.0,7447,299198.0,301396.0,0.13,0.87,0.54,0.94,0.1,5.36,6.43,0.32
50,34.0,20.0,7391,420964.0,424487.0,0.08,1.25,0.12,0.98,0.05,4.73,6.46,0.23
51,79.0,10.0,7386,188227.0,189897.0,0.18,1.61,0.03,1.0,0.07,7.36,6.54,1.08
52,88.0,92.0,7384,108419.0,109375.0,0.09,1.12,0.02,0.82,0.05,5.47,5.69,0.64
53,84.0,13.0,7246,413569.0,416790.0,0.04,1.13,0.06,1.23,0.03,5.0,7.47,0.42
54,96.0,22.0,7221,214161.0,214810.0,0.06,1.85,0.0,1.08,0.04,5.33,6.26,0.24
55,50.0,50.0,7143,133236.0,136133.0,0.1,1.35,0.06,0.82,0.03,5.35,6.25,0.34
56,28.0,6.0,7131,104759.0,104853.0,0.12,1.49,0.06,1.06,0.05,7.79,7.65,2.26
57,55.0,89.0,7101,268000.0,272562.0,0.23,1.08,0.06,1.16,0.09,6.88,6.78,0.64
58,4.0,96.0,7068,152771.0,154340.0,0.16,0.91,0.13,1.31,0.05,5.72,7.04,0.46
59,15.0,50.0,7047,278773.0,281643.0,0.08,1.15,0.04,0.89,0.04,6.61,5.1,0.83
60,0.0,12.0,7042,318873.0,323487.0,0.15,1.57,0.16,1.1,0.06,5.58,6.61,0.29
61,0.0,0.0,7035,243268.0,244243.0,0.05,1.53,0.03,0.86,0.07,4.85,7.1,0.71
62,81.0,75.0,6987,228632.0,228851.0,0.16,1.37,0.29,0.86,0.03,6.82,5.94,0.28
63,77.0,94.0,6971,163918.0,163497.0,0.24,1.07,0.08,0.74,0.11,7.45,6.35,0.72
64,50.0,85.0,6690,277094.0,278635.0,0.17,1.31,0.18,1.45,0.14,6.11,7.96,0.37
65,85.0,15.0,6572,228594.0,232751.0,0.05,1.51,0.04,0.99,0.05,4.55,6.89,0.17
66,91.0,63.0,6549,215456.0,216228.0,0.15,0.96,0.14,1.51,0.05,6.22,7.83,0.92
67,26.0,21.0,6524,149966.0,189325.0,0.13,0.78,0.02,0.74,0.06,4.34,4.74,0.53
68,44.0,55.0,6433,102151.0,104872.0,0.09,1.18,0.04,0.44,0.04,4.13,4.64,0.11
69,6.0,29.0,6393,99151.0,99915.0,0.11,1.31,0.14,0.97,0.07,5.42,6.12,0.45
70,70.0,40.0,6322,339173.0,345367.0,0.12,1.22,0.05,1.37,0.11,5.33,7.56,0.4
71,88.0,6.0,6209,244011.0,246182.0,0.13,1.51,0.11,1.46,0.09,7.07,7.79,0.71
72,25.0,45.0,6188,261934.0,265535.0,0.06,1.04,0.02,0.79,0.05,5.85,6.7,0.43
73,83.0,44.0,6156,228582.0,237015.0,0.07,0.97,0.05,0.66,0.02,4.59,5.39,0.11
74,21.0,19.0,6138,174828.0,175847.0,0.15,1.26,0.03,1.05,0.08,5.43,7.15,0.32
75,85.0,15.0,6030,281262.0,310489.0,0.04,1.69,0.01,0.15,0.01,5.66,2.89,0.1
76,58.0,67.0,6017,150844.0,151550.0,0.16,1.41,0.08,0.82,0.1,6.91,6.88,0.55
77,71.0,49.0,5938,158161.0,157939.0,0.08,1.34,0.04,1.23,0.04,5.39,7.41,0.36
78,30.0,17.0,5922,434674.0,440300.0,0.12,1.45,0.08,0.71,0.07,5.46,5.73,0.23
79,8.0,92.0,5867,159764.0,160841.0,0.04,1.35,0.04,1.25,0.04,4.82,6.03,0.53
80,26.0,89.0,5824,80880.0,81289.0,0.16,1.41,0.04,0.75,0.06,4.49,6.04,0.24
81,50.0,42.0,5733,109614.0,111334.0,0.15,1.29,0.08,1.0,0.06,5.33,7.34,0.77
82,2.0,20.0,5725,231179.0,232985.0,0.1,1.18,0.07,0.84,0.04,4.33,5.94,0.17
83,93.0,71.0,5686,331115.0,338210.0,0.05,0.99,0.05,0.65,0.03,5.04,5.71,0.65
84,60.0,72.0,5392,106696.0,107366.0,0.12,1.26,0.19,0.71,0.06,5.4,6.45,0.36
85,1.0,92.0,5356,153033.0,154266.0,0.14,1.48,0.37,1.01,0.11,6.08,6.07,0.11
86,18.0,98.0,5277,117703.0,118480.0,0.12,1.38,0.02,1.36,0.07,6.84,7.6,0.95
87,20.0,7.0,5240,158088.0,160115.0,0.08,1.1,0.08,0.79,0.09,5.85,5.75,1.02
88,74.0,47.0,5210,151993.0,154828.0,0.1,1.15,0.24,0.98,0.06,5.8,5.87,1.17
89,3.0,40.0,5197,110793.0,111271.0,0.1,1.28,0.1,0.8,0.02,4.62,6.07,0.18
90,8.0,89.0,5158,106780.0,107271.0,0.53,1.16,0.05,0.98,0.11,7.89,6.65,0.8
91,46.0,16.0,5141,70016.0,70649.0,0.08,1.26,0.1,1.03,0.04,6.08,6.67,0.68
92,24.0,63.0,5121,129791.0,131037.0,0.12,1.27,0.01,1.19,0.08,5.67,6.46,0.24
93,50.0,50.0,5120,142012.0,143436.0,0.14,0.99,0.09,1.61,0.04,5.48,7.17,0.28
94,70.0,5.0,5088,204043.0,206529.0,0.11,1.09,0.05,1.11,0.04,5.31,6.91,0.42
95,89.0,40.0,4989,142034.0,147397.0,0.11,1.37,0.02,1.0,0.02,5.45,6.24,0.3
96,77.0,19.0,4952,299906.0,305225.0,0.09,1.21,0.21,0.93,0.05,5.8,6.39,0.61
97,5.0,40.0,4932,159089.0,161249.0,0.1,1.3,0.03,1.17,0.06,5.19,6.77,0.28
98,57.0,10.0,4920,97603.0,98457.0,0.11,1.83,0.05,1.28,0.04,7.18,6.1,1.35
99,56.0,95.0,4904,77736.0,80861.0,0.14,1.42,0.01,0.58,0.02,5.05,3.93,0.15
100,46.0,46.0,4894,230793.0,233648.0,0.08,1.4,0.05,1.27,0.05,5.42,7.8,0.29
101,34.0,1.0,4882,141564.0,143120.0,0.1,1.18,0.32,1.11,0.08,4.17,7.29,0.82
102,57.0,43.0,4856,274940.0,276297.0,0.03,1.34,0.02,0.42,0.02,3.9,4.98,0.07
103,78.0,82.0,4761,158950.0,162169.0,0.11,1.95,0.02,1.01,0.03,5.15,5.81,0.23
104,5.0,46.0,4760,132776.0,134574.0,0.09,1.21,0.02,0.97,0.07,5.4,7.11,0.75
105,3.0,37.0,4674,102027.0,104029.0,0.11,1.35,0.05,1.16,0.07,5.44,7.17,1.09
106,50.0,90.0,4500,240149.0,242594.0,0.16,0.94,0.54,0.98,0.04,4.77,6.28,0.21
107,67.0,61.0,4461,137245.0,138079.0,0.02,1.42,0.01,0.66,0.03,3.02,6.5,0.03
108,1.0,97.0,4430,167705.0,169594.0,0.2,1.41,0.27,1.11,0.13,6.31,6.89,0.83
109,17.0,9.0,4429,128498.0,131298.0,0.08,1.16,0.09,0.99,0.04,5.42,5.99,0.24
110,32.0,13.0,4391,165490.0,167852.0,0.12,1.41,0.11,0.97,0.09,6.13,5.13,0.16
111,83.0,14.0,4389,523344.0,526026.0,0.13,1.78,0.05,1.08,0.08,5.61,7.56,0.06
112,22.0,99.0,4322,72048.0,73002.0,0.03,1.09,0.02,0.88,0.03,4.15,5.33,0.15
113,31.0,99.0,4312,200783.0,203365.0,0.07,1.25,0.22,1.26,0.05,5.21,5.77,0.19
114,12.0,28.0,4283,240147.0,242597.0,0.04,1.53,0.02,0.93,0.01,4.14,4.37,0.02
115,2.0,1.0,4273,127897.0,129084.0,0.03,1.07,0.09,1.12,0.03,3.66,6.27,0.08
116,91.0,79.0,4249,396089.0,402825.0,0.07,1.53,0.01,0.71,0.04,5.13,5.98,0.3
117,80.0,60.0,4249,97342.0,98709.0,0.1,0.97,0.12,1.05,0.05,5.87,5.99,0.69
118,70.0,9.0,4221,88478.0,89792.0,0.08,1.35,0.07,0.84,0.06,5.31,5.39,0.66
119,74.0,1.0,4156,181205.0,183848.0,0.03,1.3,0.02,1.02,0.04,4.89,5.65,0.15
120,67.0,23.0,4127,42816.0,43389.0,0.27,1.35,0.05,0.91,0.12,7.82,6.6,0.78
121,98.0,65.0,4071,172778.0,174721.0,0.12,1.19,0.1,1.5,0.07,5.79,7.29,0.4
122,15.0,5.0,4039,214378.0,218648.0,0.12,1.71,0.06,0.93,0.05,5.83,6.86,0.14
123,10.0,18.0,4036,68744.0,69405.0,0.09,1.46,0.06,0.65,0.07,5.87,5.89,0.61
124,18.0,50.0,4017,100547.0,101222.0,0.15,1.04,0.05,0.82,0.04,4.89,6.07,0.48
125,85.0,50.0,4014,146000.0,146298.0,0.06,1.37,0.03,0.93,0.03,5.67,5.57,0.39
126,6.0,27.0,3969,70847.0,71908.0,0.08,1.36,0.01,1.1,0.01,6.09,5.22,0.06
127,65.0,96.0,3935,86400.0,87499.0,0.35,1.52,0.02,0.66,0.08,5.76,5.47,0.32
128,26.0,22.0,3915,91468.0,92613.0,0.13,1.81,0.07,1.33,0.04,6.26,7.1,1.4
129,29.0,94.0,3890,102314.0,103342.0,0.15,1.0,0.1,1.28,0.06,6.17,6.45,0.31
130,15.0,43.0,3880,198827.0,199942.0,0.09,1.22,0.03,0.91,0.05,4.82,5.81,0.59
131,86.0,98.0,3863,35187.0,36113.0,0.09,0.78,0.02,0.87,0.02,2.96,5.19,0.15
132,58.0,25.0,3842,526562.0,538464.0,0.09,1.11,0.08,0.95,0.05,6.28,5.56,0.54
133,44.0,84.0,3774,75591.0,76714.0,0.11,1.22,0.16,1.04,0.06,5.67,6.26,1.36
134,15.0,85.0,3769,132226.0,133710.0,0.08,1.52,0.03,1.17,0.09,5.13,6.92,0.46
135,78.0,10.0,3761,257202.0,260441.0,0.05,0.98,0.02,0.87,0.05,6.01,6.03,0.28
136,77.0,83.0,3754,53738.0,55271.0,0.12,1.83,0.03,0.79,0.01,6.19,5.58,0.3
137,1.0,46.0,3752,237190.0,239517.0,0.09,1.28,0.06,1.2,0.08,5.0,7.94,0.51
138,6.0,94.0,3752,92536.0,93590.0,0.17,1.19,0.28,0.94,0.1,5.88,6.94,0.86
139,56.0,4.0,3718,59940.0,61042.0,0.11,1.03,0.02,0.61,0.04,4.85,5.48,0.06
140,44.0,98.0,3708,105034.0,107664.0,0.05,0.7,0.11,0.87,0.05,5.91,5.89,0.46
141,74.0,27.0,3682,129905.0,131519.0,0.14,0.97,0.02,3.26,0.07,4.83,7.8,0.16
142,47.0,6.0,3666,100618.0,102619.0,0.03,0.33,0.02,0.34,0.02,2.82,2.09,0.28
143,89.0,5.0,3628,118998.0,122175.0,0.1,1.19,0.03,0.66,0.06,5.05,5.39,0.08
144,85.0,50.0,3615,193321.0,195551.0,0.04,1.51,0.02,0.65,0.04,5.09,5.47,0.06
145,26.0,16.0,3595,274188.0,275264.0,0.09,1.49,0.08,1.51,0.07,5.1,7.59,0.22
146,0.0,69.0,3589,80433.0,81754.0,0.17,1.27,0.17,1.09,0.03,6.01,6.45,0.33
147,9.0,75.0,3548,258708.0,258460.0,0.09,1.01,0.03,0.62,0.03,5.24,4.31,0.11
148,85.0,67.0,3538,153960.0,155422.0,0.05,1.48,0.04,0.45,0.04,4.55,5.2,0.06
149,66.0,48.0,3533,132883.0,137386.0,0.08,1.41,0.01,0.57,0.09,5.39,4.6,0.15
150,17.0,88.0,3508,57318.0,57977.0,0.12,1.36,0.02,0.92,0.04,5.28,5.95,0.22
151,48.0,13.0,3501,88854.0,90178.0,0.13,1.32,0.35,0.91,0.18,5.99,7.62,0.56
152,3.0,27.0,3477,53441.0,53987.0,0.09,1.13,0.22,0.99,0.03,6.69,6.04,1.64
153,11.0,49.0,3476,109802.0,110184.0,0.09,1.61,0.02,0.76,0.08,5.49,5.96,0.47
154,4.0,9.0,3464,52045.0,53754.0,0.07,1.37,0.02,0.92,0.04,6.3,5.31,0.4
155,10.0,87.0,3456,70392.0,70861.0,0.12,1.0,0.08,1.2,0.04,5.11,6.77,0.34
156,86.0,67.0,3385,159045.0,161907.0,0.2,1.35,0.48,0.71,0.03,6.42,6.49,0.15
157,61.0,42.0,3384,84778.0,86110.0,0.06,1.4,0.04,1.42,0.04,4.84,5.62,0.19
158,49.0,41.0,3383,120005.0,123644.0,0.06,1.06,0.01,0.71,0.1,5.6,5.45,0.38
159,26.0,29.0,3378,130267.0,130970.0,0.07,1.29,0.03,1.22,0.07,5.43,6.48,0.37
160,63.0,60.0,3377,282339.0,288719.0,0.03,1.15,0.04,1.44,0.05,3.86,5.64,0.18
161,65.0,40.0,3371,98096.0,98898.0,0.21,1.56,0.04,1.06,0.08,6.25,6.63,0.24
162,15.0,50.0,3324,129593.0,132477.0,0.09,0.51,0.05,0.49,0.04,2.78,4.09,0.15
163,17.0,92.0,3265,78883.0,79325.0,0.1,1.94,0.16,0.94,0.07,4.8,6.36,0.69
164,1.0,67.0,3263,173187.0,174006.0,0.05,1.27,0.03,1.0,0.09,5.02,7.23,0.4
165,91.0,25.0,3260,302185.0,305692.0,0.21,1.39,0.14,1.16,0.1,5.6,6.61,0.25
166,6.0,3.0,3227,212472.0,215446.0,0.03,0.99,0.04,0.83,0.04,4.12,6.46,0.16
167,97.0,41.0,3225,198581.0,200966.0,0.04,1.53,0.05,0.95,0.02,4.88,5.39,0.53
168,50.0,85.0,3202,101043.0,102890.0,0.17,0.98,0.12,1.08,0.11,5.59,7.05,0.3
169,12.0,30.0,3194,91824.0,92400.0,0.1,1.05,0.07,0.84,0.07,6.37,6.44,0.98
170,70.0,85.0,3191,72157.0,72482.0,0.09,1.29,0.07,1.1,0.06,5.75,7.1,0.47
171,98.0,99.0,3161,334077.0,338887.0,0.18,1.14,0.54,0.96,0.07,5.63,6.63,0.16
172,15.0,85.0,3138,217729.0,219769.0,0.07,1.55,0.06,0.74,0.06,4.47,5.6,0.04
173,12.0,54.0,3124,237857.0,246431.0,0.07,1.23,0.05,0.71,0.04,4.03,6.69,0.04
174,24.0,30.0,3104,113373.0,114319.0,0.08,1.47,0.03,1.24,0.06,5.26,6.32,0.39
175,40.0,80.0,3075,74644.0,76669.0,0.22,1.14,0.05,1.37,0.07,5.99,7.12,0.26
176,50.0,31.0,3042,188940.0,195164.0,0.13,0.81,0.03,0.65,0.04,4.86,4.53,0.2
177,67.0,76.0,3033,89131.0,91065.0,0.11,1.19,0.08,0.83,0.04,5.35,5.93,0.58
178,17.0,46.0,2994,29759.0,31027.0,1.29,1.11,0.06,1.17,0.08,20.03,6.99,0.73
179,0.0,98.0,2985,109681.0,109908.0,0.1,1.11,0.07,1.08,0.05,5.21,6.14,0.16
180,6.0,80.0,2978,323950.0,327629.0,0.05,1.31,0.0,0.87,0.05,5.32,7.75,0.43
181,19.0,90.0,2951,43910.0,44358.0,0.15,1.17,0.1,0.59,0.04,5.84,5.08,1.49
182,3.0,92.0,2895,71172.0,72411.0,0.07,0.85,0.06,0.62,0.05,4.77,5.62,0.15
183,4.0,61.0,2895,49682.0,50096.0,0.24,1.77,0.04,0.97,0.18,8.27,6.74,0.27
184,2.0,53.0,2895,34209.0,34640.0,0.16,1.15,0.04,0.74,0.06,5.96,5.13,0.81
185,69.0,99.0,2869,50264.0,51394.0,0.25,1.64,0.04,1.16,0.01,6.45,5.65,0.49
186,66.0,99.0,2867,57442.0,59467.0,0.07,0.91,0.01,0.68,0.03,4.09,3.8,0.25
187,18.0,1.0,2864,59583.0,60144.0,0.07,1.71,0.03,0.99,0.03,5.74,4.78,0.19
188,0.0,1.0,2852,48573.0,48863.0,0.13,1.16,0.09,1.16,0.09,6.36,6.17,0.46
189,70.0,80.0,2819,201298.0,201390.0,0.05,1.31,0.03,1.66,0.05,4.8,7.18,0.35
190,87.0,9.0,2790,62968.0,63351.0,0.17,1.68,0.06,0.86,0.08,5.97,6.97,0.57
191,81.0,44.0,2754,32318.0,32647.0,0.24,1.3,0.04,0.46,0.05,6.23,5.67,0.4
192,86.0,93.0,2729,94780.0,95184.0,0.6,1.86,0.4,0.76,0.14,8.57,6.76,0.61
193,55.0,58.0,2715,145894.0,146802.0,0.06,1.35,0.03,1.08,0.04,4.42,6.92,0.3
194,6.0,1.0,2707,115387.0,117133.0,0.03,1.17,0.04,1.15,0.02,4.07,5.96,0.23
195,3.0,40.0,2704,84929.0,85839.0,0.07,1.39,0.06,0.95,0.07,5.25,5.76,0.61
196,60.0,40.0,2699,63159.0,63646.0,0.05,1.24,0.05,0.79,0.08,4.48,5.74,0.34
197,15.0,93.0,2666,119500.0,120337.0,0.06,1.57,0.04,0.68,0.06,4.6,5.86,0.21
198,0.0,78.0,2664,80388.0,80804.0,0.04,1.33,0.06,0.8,0.06,5.03,6.51,0.66
199,6.0,93.0,2627,103492.0,104132.0,0.12,1.33,0.06,1.16,0.08,6.33,6.57,0.59
200,86.0,72.0,2602,130912.0,132221.0,0.15,1.31,0.21,1.06,0.05,4.48,6.73,0.21
201,17.0,25.0,2597,250341.0,253657.0,0.04,1.43,0.03,0.98,0.03,5.0,7.29,0.5
202,15.0,50.0,2572,43265.0,44434.0,0.1,1.15,0.09,0.52,0.08,4.87,6.27,0.67
203,24.0,92.0,2563,72717.0,73878.0,0.06,1.31,0.04,1.01,0.03,4.99,4.99,0.17
204,73.0,35.0,2563,56669.0,57047.0,0.15,1.67,0.04,1.24,0.09,5.75,7.54,0.77
205,93.0,35.0,2561,113676.0,114854.0,0.19,2.1,0.07,1.06,0.05,6.04,7.46,0.14
206,10.0,6.0,2552,95358.0,96605.0,0.08,1.37,0.14,0.87,0.08,5.76,6.87,0.39
207,83.0,8.0,2551,98448.0,100193.0,0.03,1.87,0.0,0.66,0.05,6.3,7.02,0.14
208,23.0,31.0,2543,169671.0,170771.0,0.04,1.1,0.04,0.66,0.05,4.96,4.98,0.23
209,79.0,30.0,2542,123340.0,124574.0,0.2,1.46,0.06,0.96,0.04,5.78,6.4,0.09
210,72.5,87.5,2515,39274.0,39937.0,0.03,1.39,0.0,0.76,0.04,5.97,5.1,0.71
211,93.0,21.0,2514,62923.0,63428.0,0.04,1.21,0.0,0.62,0.02,6.08,6.04,0.02
212,54.0,60.0,2509,40304.0,40164.0,0.15,2.57,0.1,0.78,0.07,5.48,5.76,0.47
213,96.0,72.0,2482,102365.0,102979.0,0.1,1.18,0.03,1.45,0.07,6.37,7.37,0.44
214,79.0,27.0,2462,86894.0,87507.0,0.22,1.06,0.07,0.89,0.07,6.3,5.84,0.46
215,8.0,5.0,2456,162987.0,164554.0,0.09,1.08,0.09,1.36,0.03,5.16,7.24,0.23
216,53.0,44.0,2452,110432.0,110824.0,0.06,0.94,0.04,0.56,0.06,4.34,5.45,0.25
217,70.0,67.0,2448,80377.0,80924.0,0.1,0.99,0.17,1.55,0.11,5.65,7.78,0.19
218,20.0,82.0,2447,88418.0,89328.0,0.06,1.25,0.08,0.72,0.07,5.29,6.14,0.29
219,17.0,5.0,2440,137549.0,139256.0,0.11,1.15,0.05,1.08,0.05,6.59,6.2,0.22
220,70.0,5.0,2433,439108.0,441699.0,0.04,1.27,0.07,0.9,0.03,3.44,6.22,0.1
221,8.0,25.0,2431,31048.0,31392.0,0.25,1.59,0.14,0.54,0.07,6.25,5.47,1.17
222,20.0,25.0,2424,25335.0,24970.0,0.15,0.91,0.08,0.98,0.02,6.97,6.71,1.77
223,47.0,1.0,2422,67431.0,67938.0,0.11,0.92,0.2,1.34,0.09,5.05,7.66,0.33
224,13.0,85.0,2399,143353.0,144357.0,0.12,1.18,0.03,0.98,0.09,5.7,7.24,0.48
225,89.0,40.0,2383,79015.0,79657.0,0.25,1.08,0.2,0.99,0.06,5.13,6.97,0.47
226,85.0,20.0,2379,152657.0,153356.0,0.06,0.82,0.04,0.34,0.01,3.69,3.05,0.13
227,77.0,84.0,2378,96322.0,98133.0,0.04,1.31,0.04,1.18,0.05,5.18,6.3,0.24
228,77.0,44.0,2356,139624.0,140731.0,0.06,1.66,0.05,0.61,0.03,3.99,5.12,0.13
229,0.0,20.0,2316,68179.0,69141.0,0.05,1.28,0.03,0.9,0.02,4.53,5.43,0.13
230,28.0,71.0,2247,80084.0,81306.0,0.12,1.15,0.07,1.01,0.05,4.99,6.83,0.22
231,83.0,99.0,2241,30586.0,31282.0,0.21,1.6,0.11,0.66,0.02,5.85,4.64,0.54
232,11.0,45.0,2236,88058.0,88775.0,0.14,1.33,0.08,0.92,0.05,6.02,6.99,0.66
233,41.0,13.0,2218,106153.0,108264.0,0.07,1.58,0.02,0.75,0.07,4.39,5.91,0.39
234,95.0,35.0,2213,114209.0,115883.0,0.05,1.64,0.07,0.56,0.03,4.06,4.56,0.18
235,24.0,82.0,2199,148819.0,150097.0,0.07,1.27,0.04,0.65,0.05,5.74,4.91,0.15
236,3.0,46.0,2195,63265.0,63459.0,0.28,1.21,0.8,1.25,0.18,6.95,7.15,0.47
237,79.0,1.0,2192,99902.0,100940.0,0.1,1.14,0.03,1.14,0.06,6.49,7.4,0.19
238,70.0,80.0,2188,122206.0,123418.0,0.17,1.29,0.05,1.49,0.07,5.11,8.8,0.38
239,9.0,16.0,2181,60061.0,60848.0,0.11,1.25,0.08,0.41,0.07,4.78,5.61,0.45
240,50.0,15.0,2176,107940.0,108343.0,0.11,1.02,0.14,1.32,0.05,5.69,6.95,0.31
241,93.0,36.0,2168,63710.0,64118.0,0.13,1.52,0.07,1.24,0.05,5.89,7.66,0.66
242,34.0,6.0,2155,77042.0,77713.0,0.17,1.51,0.01,0.91,0.06,5.63,7.0,0.27
243,28.0,75.0,2145,66515.0,68303.0,0.1,1.29,0.26,0.84,0.07,5.69,8.01,0.34
244,22.0,17.0,2139,63448.0,64423.0,0.07,1.65,0.08,0.75,0.02,4.87,4.64,0.01
245,99.0,73.0,2136,313322.0,315130.0,0.09,1.48,0.01,1.56,0.03,2.73,7.01,0.02
246,29.0,90.0,2115,52998.0,53520.0,0.11,0.99,0.06,1.24,0.06,5.39,6.0,0.2
247,8.0,48.0,2111,91799.0,93053.0,0.12,1.3,0.5,0.75,0.11,5.2,6.27,0.66
248,24.0,88.0,2101,67442.0,68009.0,0.12,1.25,0.06,1.13,0.04,4.43,7.69,0.34
249,78.0,38.0,2095,20169.0,20211.0,0.1,1.48,0.06,0.58,0.02,5.44,6.09,0.56
250,94.0,50.0,2090,76747.0,77502.0,0.22,1.58,0.08,0.92,0.07,6.02,6.43,0.28
251,43.0,34.0,2074,61606.0,62324.0,0.08,1.21,0.03,0.87,0.07,4.23,6.77,0.14
